line,type,weekday,id_crime_category,afluency_distribution,crime_frequency
B,Transbordo,6,6,8265.6,1.0
B,Transbordo,6,7,8265.6,1.0
1,Intermedia,0,5,32688.083333333332,4.0
1,Intermedia,0,6,32688.083333333332,12.0
1,Terminal,0,6,91613.0,1.0
1,Terminal / Transbordo,0,13,36314.0,1.0
1,Transbordo,0,5,30218.0,3.0
1,Transbordo,0,6,30218.0,6.0
12,Intermedia,0,5,17669.666666666668,1.0
12,Intermedia,0,6,17669.666666666668,7.0
12,Intermedia,0,7,17669.666666666668,1.0
12,Intermedia,0,11,17669.666666666668,1.0
12,Intermedia,0,13,17669.666666666668,1.0
2,Intermedia,0,5,24792.25,8.0
2,Intermedia,0,6,24792.25,13.0
2,Transbordo,0,5,29260.166666666668,5.0
2,Transbordo,0,6,29260.166666666668,16.0
3,Intermedia,0,5,24954.166666666668,2.0
3,Intermedia,0,6,24954.166666666668,17.0
3,Intermedia,0,7,24954.166666666668,1.0
3,Terminal,0,6,88573.0,3.0
3,Terminal,0,13,88573.0,1.0
3,Transbordo,0,5,22297.571428571428,2.0
3,Transbordo,0,6,22297.571428571428,9.0
3,Transbordo,0,7,22297.571428571428,1.0
3,Transbordo,0,13,22297.571428571428,2.0
4,Intermedia,0,5,6961.75,2.0
4,Intermedia,0,6,6961.75,3.0
4,Terminal / Transbordo,0,6,10165.0,1.0
4,Transbordo,0,6,7023.0,3.0
5,Intermedia,0,5,9933.0,1.0
5,Intermedia,0,6,9933.0,3.0
5,Intermedia,0,11,9933.0,1.0
5,Terminal / Transbordo,0,13,93590.0,1.0
5,Transbordo,0,6,6410.5,1.0
5,Transbordo,0,11,6410.5,1.0
5,Transbordo,0,13,6410.5,2.0
6,Intermedia,0,6,11963.857142857143,4.0
6,Transbordo,0,6,2361.0,1.0
6,Transbordo,0,13,2361.0,1.0
7,Intermedia,0,6,19943.222222222223,7.0
7,Intermedia,0,13,19943.222222222223,1.0
7,Transbordo,0,5,12398.333333333334,1.0
7,Transbordo,0,6,12398.333333333334,2.0
7,Transbordo,0,11,12398.333333333334,1.0
8,Intermedia,0,5,17676.5,1.0
8,Intermedia,0,6,17676.5,16.0
8,Intermedia,0,11,17676.5,1.0
8,Terminal,0,6,94036.0,2.0
8,Terminal / Transbordo,0,6,22073.0,1.0
8,Transbordo,0,6,12567.6,13.0
9,Intermedia,0,5,20506.428571428572,1.0
9,Intermedia,0,6,20506.428571428572,3.0
9,Terminal / Transbordo,0,5,49927.0,1.0
9,Terminal / Transbordo,0,6,49927.0,1.0
9,Terminal / Transbordo,0,13,49927.0,1.0
A,Intermedia,0,5,17683.714285714286,3.0
A,Intermedia,0,6,17683.714285714286,4.0
A,Terminal / Transbordo,0,13,43273.0,1.0
B,Intermedia,0,6,13528.142857142857,6.0
B,Intermedia,0,7,13528.142857142857,1.0
B,Terminal,0,6,62843.0,2.0
B,Transbordo,0,5,9222.4,1.0
B,Transbordo,0,6,9222.4,4.0
B,Transbordo,0,11,9222.4,1.0
B,Transbordo,0,13,9222.4,1.0
1,Intermedia,1,5,37190.083333333336,1.0
1,Intermedia,1,6,37190.083333333336,7.0
1,Intermedia,1,11,37190.083333333336,3.0
1,Terminal,1,6,74912.0,2.0
1,Terminal / Transbordo,1,13,35786.0,1.0
1,Transbordo,1,5,28395.333333333332,1.0
1,Transbordo,1,6,28395.333333333332,7.0
1,Transbordo,1,11,28395.333333333332,1.0
1,Transbordo,1,13,28395.333333333332,3.0
12,Intermedia,1,5,19509.133333333335,1.0
12,Intermedia,1,6,19509.133333333335,9.0
12,Terminal,1,5,63980.0,2.0
12,Terminal / Transbordo,1,7,18874.0,1.0
12,Terminal / Transbordo,1,13,18874.0,2.0
12,Transbordo,1,6,14735.666666666666,1.0
2,Intermedia,1,5,27026.4375,2.0
2,Intermedia,1,6,27026.4375,16.0
2,Intermedia,1,7,27026.4375,2.0
2,Terminal,1,6,97098.5,1.0
2,Transbordo,1,5,29714.333333333332,1.0
2,Transbordo,1,6,29714.333333333332,5.0
2,Transbordo,1,13,29714.333333333332,2.0
3,Intermedia,1,5,26153.083333333332,1.0
3,Intermedia,1,6,26153.083333333332,14.0
3,Intermedia,1,11,26153.083333333332,1.0
3,Intermedia,1,13,26153.083333333332,2.0
3,Terminal,1,7,99242.5,1.0
3,Transbordo,1,5,23162.14285714286,1.0
3,Transbordo,1,6,23162.14285714286,10.0
3,Transbordo,1,13,23162.14285714286,2.0
4,Intermedia,1,6,8545.5,5.0
4,Terminal / Transbordo,1,6,11511.5,3.0
4,Terminal / Transbordo,1,11,11511.5,1.0
4,Transbordo,1,6,7107.0,5.0
5,Intermedia,1,5,10475.285714285714,1.0
5,Intermedia,1,6,10475.285714285714,3.0
5,Terminal / Transbordo,1,13,82235.0,1.0
6,Intermedia,1,6,12865.0,3.0
6,Terminal / Transbordo,1,5,25829.0,1.0
6,Terminal / Transbordo,1,6,25829.0,1.0
6,Transbordo,1,5,2835.0,1.0
7,Intermedia,1,5,25359.555555555555,2.0
7,Intermedia,1,6,25359.555555555555,8.0
7,Intermedia,1,13,25359.555555555555,1.0
7,Transbordo,1,6,13994.333333333334,3.0
7,Transbordo,1,7,13994.333333333334,1.0
7,Transbordo,1,13,13994.333333333334,2.0
8,Intermedia,1,5,16729.0,2.0
8,Intermedia,1,6,16729.0,7.0
8,Intermedia,1,7,16729.0,1.0
8,Intermedia,1,11,16729.0,2.0
8,Transbordo,1,6,13980.8,3.0
8,Transbordo,1,7,13980.8,1.0
8,Transbordo,1,11,13980.8,2.0
8,Transbordo,1,13,13980.8,1.0
9,Intermedia,1,6,21732.0,6.0
9,Terminal / Transbordo,1,6,57640.5,1.0
9,Terminal / Transbordo,1,13,57640.5,1.0
9,Transbordo,1,6,13014.0,3.0
A,Intermedia,1,5,18600.428571428572,1.0
A,Intermedia,1,6,18600.428571428572,3.0
A,Intermedia,1,7,18600.428571428572,1.0
A,Intermedia,1,11,18600.428571428572,1.0
A,Terminal / Transbordo,1,13,40518.0,1.0
B,Intermedia,1,6,15725.857142857143,1.0
B,Terminal,1,6,66084.0,1.0
B,Transbordo,1,5,8413.2,1.0
B,Transbordo,1,6,8413.2,3.0
1,Intermedia,2,5,19527.833333333332,1.0
1,Intermedia,2,6,19527.833333333332,5.0
1,Intermedia,2,7,19527.833333333332,2.0
1,Terminal / Transbordo,2,13,16292.0,2.0
1,Transbordo,2,5,21825.5,4.0
1,Transbordo,2,6,21825.5,3.0
1,Transbordo,2,7,21825.5,1.0
1,Transbordo,2,13,21825.5,3.0
12,Intermedia,2,6,9194.0,9.0
12,Intermedia,2,7,9194.0,1.0
12,Intermedia,2,11,9194.0,1.0
12,Terminal / Transbordo,2,6,6211.0,1.0
12,Transbordo,2,6,6383.666666666667,2.0
12,Transbordo,2,13,6383.666666666667,3.0
2,Intermedia,2,5,14172.6875,1.0
2,Intermedia,2,6,14172.6875,13.0
2,Intermedia,2,11,14172.6875,2.0
2,Terminal,2,13,53474.0,1.0
2,Transbordo,2,6,19289.166666666668,6.0
2,Transbordo,2,7,19289.166666666668,1.0
2,Transbordo,2,11,19289.166666666668,1.0
2,Transbordo,2,13,19289.166666666668,3.0
3,Intermedia,2,6,12185.0,10.0
3,Transbordo,2,5,12460.857142857143,1.0
3,Transbordo,2,6,12460.857142857143,2.0
3,Transbordo,2,13,12460.857142857143,3.0
4,Intermedia,2,6,5466.5,2.0
4,Terminal / Transbordo,2,6,5864.0,2.0
4,Terminal / Transbordo,2,7,5864.0,1.0
4,Transbordo,2,6,5243.75,1.0
5,Intermedia,2,6,6749.571428571428,4.0
5,Intermedia,2,13,6749.571428571428,1.0
5,Terminal / Transbordo,2,13,50687.0,2.0
5,Transbordo,2,6,4824.0,1.0
6,Intermedia,2,5,6815.0,3.0
6,Intermedia,2,6,6815.0,2.0
6,Terminal / Transbordo,2,6,9632.5,1.0
6,Terminal / Transbordo,2,7,9632.5,1.0
7,Intermedia,2,6,7816.444444444444,1.0
7,Intermedia,2,7,7816.444444444444,2.0
7,Intermedia,2,13,7816.444444444444,1.0
7,Terminal,2,6,16999.0,1.0
7,Transbordo,2,6,9252.666666666666,5.0
7,Transbordo,2,11,9252.666666666666,1.0
7,Transbordo,2,13,9252.666666666666,2.0
8,Intermedia,2,5,10135.083333333334,1.0
8,Intermedia,2,6,10135.083333333334,8.0
8,Intermedia,2,11,10135.083333333334,2.0
8,Terminal,2,6,65311.0,2.0
8,Terminal / Transbordo,2,6,12735.0,3.0
8,Terminal / Transbordo,2,13,12735.0,1.0
8,Transbordo,2,5,9024.2,2.0
8,Transbordo,2,6,9024.2,5.0
9,Intermedia,2,5,10037.285714285714,1.0
9,Intermedia,2,6,10037.285714285714,3.0
9,Terminal / Transbordo,2,6,30725.5,1.0
9,Terminal / Transbordo,2,13,30725.5,4.0
9,Transbordo,2,6,8425.666666666666,4.0
A,Intermedia,2,6,11432.857142857143,3.0
A,Intermedia,2,11,11432.857142857143,1.0
A,Terminal / Transbordo,2,13,11011.0,2.0
B,Intermedia,2,5,9996.142857142857,1.0
